raw_file_name,raw_file_type,biosample_id,biosample_name,match_confidence,processedsample_placeholder,material_processing_protocol_id
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_27_S32-D89_C_Rg70to1050-CE102040-soil-S1_Run166.raw,sample,nmdc:bsm-11-qnnjrr65,S32_C_D89 hydrophilic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_31_S40-D30_A_Rg80to1200-CE102040-soil-S1_Run17.raw,sample,nmdc:bsm-11-085vbj75,S40_A_D30 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_33_S40-D30_C_Rg80to1200-CE102040-soil-S1_Run233.raw,sample,nmdc:bsm-11-0fntz079,S40_C_D30 hydrophobic,high,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_74_ExCtrl_B_Rg80to1200-CE205060-soil-S1_Run123.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201023_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-139_C18_USDAY59430_NEG_MSMS_10-NP_ExCtrl_A_Rg80to1200-CE102040-none-S1_Run16.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_60_Neg-D45_C_Rg80to1200-CE102040-soil-S1_Run229.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_0_QC_Pre_Rg70to1050-CE102040--QC_Run7.raw,qc,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_56_Neg-D30_B_Rg70to1050-CE205060-soil-S1_Run93.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201028_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-HF_HILICZ_USHXG01583_POS_MSMS_4-P_S47-D59-hydrophobic_A_Rg70to1050-CE102040-soil-S1_Run19.raw,unknown,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_64_Sterile-sand_A_Rg80to1200-CE102040-soil-S1_Run36.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_56_Neg-D30_B_Rg80to1200-CE205060-soil-S1_Run94.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_55_Neg-D30_A_Rg70to1050-CE102040-soil-S1_Run80.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201023_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-139_C18_USDAY59430_NEG_MSMS_9-NP_Neg-D59-Ctrl_C_Rg80to1200-CE102040-ctrl-S1_Run42.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_63_Neg-D89_C_Rg80to1200-CE102040-soil-S1_Run215.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_66_Sterile-BGramaLit_A_Rg70to1050-CE102040-soil-S1_Run47.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201023_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-139_C18_USDAY59430_POS_MSMS_8-NP_Neg-D59-Ctrl_B_Rg80to1200-CE102040-ctrl-S1_Run30.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201023_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-139_C18_USDAY59430_NEG_MSMS_6-NP_S47-D59-hydrophobic_C_Rg80to1200-CE102040-soil-S1_Run48.raw,unknown,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_POS_MSMS_57_Neg-D30_C_Rg70to1050-CE102040-soil-S1_Run218.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201023_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-139_C18_USDAY59430_POS_MSMS_0_QC_Post_Rg80to1200-CE102040--QC_Run51.raw,qc,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_69_Sterile-BGramaLit_B_Rg70to1050-CE205060-soil-S1_Run158.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201023_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-139_C18_USDAY59430_POS_MSMS_0_QC_Pre_Rg80to1200-CE102040--QC_Run7.raw,qc,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201023_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-139_C18_USDAY59430_POS_MSMS_7-NP_Neg-D59-Ctrl_A_Rg80to1200-CE102040-ctrl-S1_Run18.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_58_Neg-D45_A_Rg80to1200-CE102040-soil-S1_Run57.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_59_Neg-D45_B_Rg80to1200-CE205060-soil-S1_Run133.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_POS_MSMS_61_Neg-D89_A_Rg80to1200-CE102040-soil-S1_Run64.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210915_JGI-AK_MK_506588_SoilWaterRep_final_QE-HF_C18_USDAY63680_NEG_MSMS_74_ExCtrl_B_Rg80to1200-CE205060-soil-S1_Run124.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201028_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-HF_HILICZ_USHXG01583_NEG_MSMS_11-P_ExCtrl_B_Rg70to1050-CE102040-none-S1_Run33.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_57_Neg-D30_C_Rg70to1050-CE102040-soil-S1_Run219.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_59_Neg-D45_B_Rg70to1050-CE205060-soil-S1_Run130.raw,blank,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201028_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-HF_HILICZ_USHXG01583_POS_MSMS_0_QC_Post_Rg70to1050-CE102040--QC_Run48.raw,qc,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_0_QC_Pre_Rg70to1050-CE102040--QC_Run8.raw,qc,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
20201028_JGI-AK_MK_506588_SoilWaterRep_pilot_QE-HF_HILICZ_USHXG01583_NEG_MSMS_4-P_S47-D59-hydrophobic_A_Rg70to1050-CE102040-soil-S1_Run20.raw,unknown,,,no_match,ProcessedSample2_metabolomics_extraction,metabolomics_extraction
