sample_id,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution_workflow,processing_institution_generation,instrument_analysis_end_date,instrument_instance_specifier,associated_studies
nmdc:procsm-11-xj937052,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_13_KONZ_A1_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_13_KONZ_A1_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T04:01:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-e93qes81,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_73_GRSM_A_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_73_GRSM_A_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T04:47:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-ajnz6n60,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_64_ABBY_A_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_64_ABBY_A_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T05:32:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-wat1nq19,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_86_STEI_A1_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_86_STEI_A1_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T06:17:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-yrrafy29,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_8_DELA_A_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_8_DELA_A_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T07:02:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-71phfq54,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_84_SJER_A_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_84_SJER_A_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T07:48:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-77tvmj17,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_65_BARR_Oaf_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_65_BARR_Oaf_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T08:33:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-dah3k059,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_7_DCFS_A1_PRE_NotGr_NA_NA.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_7_DCFS_A1_PRE_NotGr_NA_NA.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T09:18:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-bfzv6p44,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_81_OSBS_A_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_81_OSBS_A_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T10:03:00Z,,['nmdc:sty-11-8bjf2432']
nmdc:procsm-11-pdq0jy02,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/EMSL_75_JORN_Ak_POST_NotGr_MSTplus5_33.cdf,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/processed_20260526/EMSL_75_JORN_Ak_POST_NotGr_MSTplus5_33.csv,/Volumes/LaCie/nmdc_data/miesel_11_8bjf2432/raw/GCMS_FAMEs_01_GCMS03_2023Apr25.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent 7980A GC-MS,NMDC,EMSL,2023-04-25T10:49:00Z,,['nmdc:sty-11-8bjf2432']
